vote_id,vote_date,vote_title,vote_legal_type,vote_result,bill_id
399,1993-11-28,Bundesbeschluss über die Finanzordnung,1,1,19910079-1
402,1993-11-28,Bundesbeschluss über besondere Verbrauchssteuern,1,1,19910079-3
401,1993-11-28,Bundesbeschluss über Massnahmen zur Erhaltung der Sozialversicherung,1,1,19910079-4
400,1993-11-28,Bundesbeschluss über einen Beitrag zur Gesundung der Bundesfinanzen,1,1,19910079-2
408,1994-02-20,Volksinitiative «zum Schutze des Alpengebietes vor dem Transitverkehr»,3,1,19920016-1
407,1994-02-20,Bundesbeschluss über die Einführung einer leistungs- oder verbrauchsabhängigen Schwerverkehrsabgabe,1,1,19920012-3
409,1994-02-20,Luftfahrtgesetz,2,1,19910076-1
405,1994-02-20,Bundesbeschluss über die Weiterführung der Nationalstrassenabgabe,1,1,19920012-2
406,1994-02-20,Bundesbeschluss über die Weiterführung der Schwerverkehrsabgabe,1,1,19920012-1
411,1994-06-12,Bundesbeschluss über die Revision der Bürgerrechtsregelung in der Bundesverfassung (Erleichterte Einbürgerung für junge Ausländer),1,0,19920079-1
410,1994-06-12,Bundesbeschluss über einen Kulturförderungsartikel in der Bundesverfassung (Art. 27septies BV),1,0,19910073-1
412,1994-06-12,Bundesgesetz über schweizerische Truppen für friedenserhaltende Operationen (BTFO),2,0,19920071-1
414,1994-09-25,Schweizerisches Strafgesetzbuch Militärstrafgesetz,2,1,19920029-2
413,1994-09-25,Bundesbeschluss über die Aufhebung der Verbilligung von inländischem Brotgetreide aus Zolleinnahmen,1,1,19930078-1
415,1994-12-04,Bundesgesetz über die Krankenversicherung (KVG),2,1,19910071-1
416,1994-12-04,Volksinitiative «für eine gesunde Krankenversicherung»,3,0,19910070-1
417,1994-12-04,Bundesgesetz über Zwangsmassnahmen im Ausländerrecht,2,1,19930128-1
419,1995-03-12,Milchwirtschaftsbeschluss 1988 (MWB 1988),2,0,19930039-1
421,1995-03-12,Bundesbeschluss über eine Ausgabenbremse,1,1,19930078-2
420,1995-03-12,Landwirtschaftsgesetz,2,0,19920416-1
418,1995-03-12,Gegenentwurf der Bundesversammlung zur Volksinitiative «für eine umweltgerechte und leistungsfähige bäuerliche Landwirtschaft»,4,0,19920070-1
423,1995-06-25,Volksinitiative «zum Ausbau von AHV und IV»,3,0,19930042-1
424,1995-06-25,Bundesgesetz über den Erwerb von Grundstücken durch Personen im Ausland,2,0,19940032-1
422,1995-06-25,Bundesgesetz über die Alters- und Hinterlassenenversicherung,2,1,19900021-1
426,1996-03-10,Bundesbeschluss über den Uebertritt der bernischen Gemeinde Vellerat zum Kanton Jura,1,1,19950056-1
428,1996-03-10,Bundesbeschluss über die Aufhebung der Pflicht zum Ankauf von Brennapparaten und zur Uebernahme von Branntwein,1,1,19940073-2
425,1996-03-10,Bundesbeschluss über die Revision des Sprachenartikels in der Bundesverfassung (Art. 116 BV),1,1,19910019-1
427,1996-03-10,Bundesbeschluss über die Aufhebung der kantonalen Zuständigkeit im Bereich der persönlichen Ausrüstung der Armeeangehörigen,1,0,19940073-1
429,1996-03-10,Bundesbeschluss über die Aufhebung der Bundesbeiträge an Bahnhofparkplatzanlagen,1,1,19940073-3
431,1996-06-09,Regierungs- und Verwaltungsorganisationsgesetz (RVOG),2,0,19930075-1
